year,primary_type,crime_family,crime_count,arrest_rate,domestic_rate,crime_share_pct,yoy_change_pct,rank_in_year
2024,WEAPONS VIOLATION,Other,7116,0.6105958403597527,0.006604834176503654,3.0163022745191124,,10
2024,NARCOTICS,Drug,5353,0.9615169064076219,0.0013076779376050812,2.2690087233699847,,11
2024,CRIMINAL TRESPASS,Other,4524,0.28603006189213087,0.08023872679045092,1.9176154426538035,,12
2024,OFFENSE INVOLVING CHILDREN,Other,1500,0.08333333333333333,0.7626666666666667,0.6358141388109427,,13
2024,CRIMINAL SEXUAL ASSAULT,Other,1454,0.039889958734525444,0.19463548830811556,0.6163158385540738,,14
2024,SEX OFFENSE,Other,1136,0.08626760563380281,0.2130281690140845,0.48152324112615397,,15
2024,PUBLIC PEACE VIOLATION,Other,927,0.49514563106796117,0.040992448759439054,0.3929331377851626,,16
2024,INTERFERENCE WITH PUBLIC OFFICER,Other,637,0.8869701726844584,0.01098901098901099,0.2700090709483804,,17
2024,HOMICIDE,Other,560,0.37142857142857144,0.07142857142857142,0.23737061182275196,,18
2024,STALKING,Other,478,0.06276150627615062,0.4811715481171548,0.20261277223442042,,19
2024,ARSON,Other,435,0.08045977011494253,0.08735632183908046,0.1843861002551734,,20
2024,PROSTITUTION,Other,294,0.9625850340136054,0.003401360544217687,0.1246195712069448,,21
2024,LIQUOR LAW VIOLATION,Other,179,0.9553072625698324,0.0,0.07587382056477252,,22
2024,CONCEALED CARRY LICENSE VIOLATION,Other,178,0.9887640449438202,0.0056179775280898875,0.07544994447223188,,23
2024,INTIMIDATION,Other,135,0.037037037037037035,0.16296296296296298,0.057223272492984846,,24
2024,KIDNAPPING,Other,94,0.06382978723404255,0.40425531914893614,0.039844352698819085,,25
2024,OBSCENITY,Other,55,0.4909090909090909,0.18181818181818182,0.02331318508973457,,26
2024,GAMBLING,Other,22,1.0,0.0,0.009325274035893828,,27
2024,HUMAN TRAFFICKING,Other,17,0.0,0.11764705882352941,0.007205893573190684,,28
2024,PUBLIC INDECENCY,Other,9,0.8888888888888888,0.0,0.0038148848328656564,,29
2024,OTHER NARCOTIC VIOLATION,Other,5,0.6,0.0,0.002119380462703143,,30
2024,NON-CRIMINAL,Other,3,0.3333333333333333,0.0,0.0012716282776218857,,31
